,f,fv,value
22887,0.565,0.870,481.60000000000036
22888,0.565,0.875,467.0
22889,0.565,0.880,454.2000000000007
22890,0.565,0.885,442.89999999999964
22891,0.565,0.890,432.7000000000007
22892,0.565,0.895,423.5
22893,0.565,0.900,415.2000000000007
22894,0.565,0.905,407.5
22895,0.565,0.910,400.39999999999964
22896,0.565,0.915,393.7999999999993
22897,0.565,0.920,387.7000000000007
22898,0.565,0.925,382.0
22899,0.565,0.930,376.60000000000036
22900,0.565,0.935,371.60000000000036
22901,0.565,0.940,366.89999999999964
22902,0.565,0.945,362.39999999999964
22903,0.565,0.950,358.10000000000036
22904,0.565,0.955,354.10000000000036
22905,0.565,0.960,350.2000000000007
22906,0.565,0.965,346.60000000000036
22907,0.565,0.970,343.10000000000036
22908,0.565,0.975,339.7000000000007
22909,0.565,0.980,336.5
22910,0.565,0.985,333.39999999999964
22911,0.565,0.990,330.5
22912,0.565,0.995,327.7000000000007
22913,0.565,1.000,324.89999999999964
23080,0.570,0.830,865.3999999999996
23081,0.570,0.835,678.8999999999996
23082,0.570,0.840,609.3999999999996
23083,0.570,0.845,566.2999999999993
23084,0.570,0.850,535.2000000000007
23085,0.570,0.855,511.0
23086,0.570,0.860,491.2000000000007
23087,0.570,0.865,474.60000000000036
23088,0.570,0.870,460.2000000000007
23089,0.570,0.875,447.7000000000007
23090,0.570,0.880,436.60000000000036
23091,0.570,0.885,426.60000000000036
23092,0.570,0.890,417.5
23093,0.570,0.895,409.2999999999993
23094,0.570,0.900,401.7000000000007
23095,0.570,0.905,394.7000000000007
23096,0.570,0.910,388.2999999999993
23097,0.570,0.915,382.2000000000007
23098,0.570,0.920,376.60000000000036
23099,0.570,0.925,371.2999999999993
23100,0.570,0.930,366.2999999999993
23101,0.570,0.935,361.60000000000036
23102,0.570,0.940,357.2000000000007
23103,0.570,0.945,353.0
23104,0.570,0.950,349.0
23105,0.570,0.955,345.2000000000007
23106,0.570,0.960,341.60000000000036
23107,0.570,0.965,338.2000000000007
23108,0.570,0.970,334.7999999999993
23109,0.570,0.975,331.7000000000007
23110,0.570,0.980,328.7000000000007
23111,0.570,0.985,325.7999999999993
23112,0.570,0.990,323.0
23113,0.570,0.995,320.2999999999993
23114,0.570,1.000,317.7000000000007
23280,0.575,0.825,825.7999999999993
23281,0.575,0.830,665.1000000000004
23282,0.575,0.835,599.2000000000007
23283,0.575,0.840,557.6000000000004
23284,0.575,0.845,527.2999999999993
23285,0.575,0.850,503.60000000000036
23286,0.575,0.855,484.2000000000007
23287,0.575,0.860,467.89999999999964
23288,0.575,0.865,453.7999999999993
23289,0.575,0.870,441.39999999999964
23290,0.575,0.875,430.39999999999964
23291,0.575,0.880,420.60000000000036
23292,0.575,0.885,411.7000000000007
23293,0.575,0.890,403.5
23294,0.575,0.895,396.10000000000036
23295,0.575,0.900,389.2000000000007
23296,0.575,0.905,382.7999999999993
23297,0.575,0.910,376.7999999999993
23298,0.575,0.915,371.2999999999993
23299,0.575,0.920,366.0
23300,0.575,0.925,361.10000000000036
23301,0.575,0.930,356.5
23302,0.575,0.935,352.10000000000036
23303,0.575,0.940,348.0
23304,0.575,0.945,344.0
23305,0.575,0.950,340.2999999999993
23306,0.575,0.955,336.7000000000007
23307,0.575,0.960,333.2999999999993
23308,0.575,0.965,330.0
23309,0.575,0.970,326.89999999999964
23310,0.575,0.975,323.89999999999964
23311,0.575,0.980,321.0
23312,0.575,0.985,318.2999999999993
23313,0.575,0.990,315.60000000000036
23314,0.575,0.995,313.10000000000036
23315,0.575,1.000,310.60000000000036
23480,0.580,0.820,799.3999999999996
23481,0.580,0.825,653.3999999999996
