,f,fv,value
23311,0.575,0.980,717.0
23312,0.575,0.985,708.2000000000007
23313,0.575,0.990,699.8999999999996
23314,0.575,0.995,691.8999999999996
23315,0.575,1.000,684.3999999999996
23490,0.580,0.870,1493.5
23491,0.580,0.875,1279.7999999999993
23492,0.580,0.880,1169.0
23493,0.580,0.885,1094.3999999999996
23494,0.580,0.890,1038.5
23495,0.580,0.895,993.8999999999996
23496,0.580,0.900,956.8999999999996
23497,0.580,0.905,925.5
23498,0.580,0.910,898.2999999999993
23499,0.580,0.915,874.2999999999993
23500,0.580,0.920,852.8999999999996
23501,0.580,0.925,833.6000000000004
23502,0.580,0.930,816.1000000000004
23503,0.580,0.935,800.1000000000004
23504,0.580,0.940,785.3999999999996
23505,0.580,0.945,771.7000000000007
23506,0.580,0.950,759.1000000000004
23507,0.580,0.955,747.2999999999993
23508,0.580,0.960,736.2999999999993
23509,0.580,0.965,725.8999999999996
23510,0.580,0.970,716.2000000000007
23511,0.580,0.975,707.0
23512,0.580,0.980,698.2999999999993
23513,0.580,0.985,690.0
23514,0.580,0.990,682.2000000000007
23515,0.580,0.995,674.7000000000007
23516,0.580,1.000,667.6000000000004
23690,0.585,0.865,1467.1000000000004
23691,0.585,0.870,1262.1000000000004
23692,0.585,0.875,1153.7999999999993
23693,0.585,0.880,1080.3999999999996
23694,0.585,0.885,1025.2000000000007
23695,0.585,0.890,981.2000000000007
23696,0.585,0.895,944.6000000000004
23697,0.585,0.900,913.5
23698,0.585,0.905,886.6000000000004
23699,0.585,0.910,862.7999999999993
23700,0.585,0.915,841.6000000000004
23701,0.585,0.920,822.5
23702,0.585,0.925,805.1000000000004
23703,0.585,0.930,789.2999999999993
23704,0.585,0.935,774.7000000000007
23705,0.585,0.940,761.2000000000007
23706,0.585,0.945,748.7000000000007
23707,0.585,0.950,737.0
23708,0.585,0.955,726.0
23709,0.585,0.960,715.7999999999993
23710,0.585,0.965,706.1000000000004
23711,0.585,0.970,697.0
23712,0.585,0.975,688.3999999999996
23713,0.585,0.980,680.2000000000007
23714,0.585,0.985,672.3999999999996
23715,0.585,0.990,665.1000000000004
23716,0.585,0.995,658.0
23717,0.585,1.000,651.2999999999993
23890,0.590,0.860,1447.7999999999993
23891,0.590,0.865,1247.2000000000007
23892,0.590,0.870,1140.2999999999993
23893,0.590,0.875,1067.6000000000004
23894,0.590,0.880,1012.8999999999996
23895,0.590,0.885,969.1000000000004
23896,0.590,0.890,932.8999999999996
23897,0.590,0.895,902.0
23898,0.590,0.900,875.2000000000007
23899,0.590,0.905,851.6000000000004
23900,0.590,0.910,830.6000000000004
23901,0.590,0.915,811.6000000000004
23902,0.590,0.920,794.3999999999996
23903,0.590,0.925,778.6000000000004
23904,0.590,0.930,764.2000000000007
23905,0.590,0.935,750.7999999999993
23906,0.590,0.940,738.2999999999993
23907,0.590,0.945,726.7999999999993
23908,0.590,0.950,715.8999999999996
23909,0.590,0.955,705.7999999999993
23910,0.590,0.960,696.2000000000007
23911,0.590,0.965,687.1000000000004
23912,0.590,0.970,678.6000000000004
23913,0.590,0.975,670.5
23914,0.590,0.980,662.7999999999993
23915,0.590,0.985,655.5
23916,0.590,0.990,648.5
23917,0.590,0.995,641.7999999999993
23918,0.590,1.000,635.5
24090,0.595,0.855,1434.7000000000007
24091,0.595,0.860,1234.8999999999996
24092,0.595,0.865,1128.2999999999993
24093,0.595,0.870,1055.8999999999996
24094,0.595,0.875,1001.2999999999993
24095,0.595,0.880,957.7000000000007
24096,0.595,0.885,921.6000000000004
24097,0.595,0.890,890.8999999999996
24098,0.595,0.895,864.2000000000007
24099,0.595,0.900,840.7000000000007
24100,0.595,0.905,819.7999999999993
24101,0.595,0.910,800.8999999999996
24102,0.595,0.915,783.7999999999993
24103,0.595,0.920,768.2000000000007
24104,0.595,0.925,753.7999999999993
24105,0.595,0.930,740.5
24106,0.595,0.935,728.2000000000007
24107,0.595,0.940,716.7000000000007
24108,0.595,0.945,705.8999999999996
24109,0.595,0.950,695.7999999999993
24110,0.595,0.955,686.2999999999993
24111,0.595,0.960,677.2999999999993
24112,0.595,0.965,668.8999999999996
24113,0.595,0.970,660.7999999999993
24114,0.595,0.975,653.2000000000007
24115,0.595,0.980,646.0
24116,0.595,0.985,639.0
24117,0.595,0.990,632.3999999999996
24118,0.595,0.995,626.1000000000004
24119,0.595,1.000,620.1000000000004
24290,0.600,0.850,1427.7999999999993
24291,0.600,0.855,1225.1000000000004
24292,0.600,0.860,1117.7999999999993
24293,0.600,0.865,1045.1000000000004
24294,0.600,0.870,990.5
24295,0.600,0.875,946.8999999999996
24296,0.600,0.880,910.7999999999993
24297,0.600,0.885,880.1000000000004
24298,0.600,0.890,853.5
24299,0.600,0.895,830.1000000000004
24300,0.600,0.900,809.2999999999993
24301,0.600,0.905,790.5
24302,0.600,0.910,773.3999999999996
24303,0.600,0.915,757.8999999999996
24304,0.600,0.920,743.6000000000004
24305,0.600,0.925,730.2999999999993
24306,0.600,0.930,718.1000000000004
24307,0.600,0.935,706.6000000000004
24308,0.600,0.940,696.0
24309,0.600,0.945,685.8999999999996
24310,0.600,0.950,676.5
24311,0.600,0.955,667.6000000000004
